,age,workclass,fnlwgt,education,education.num,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income,State,Results,Model
4329,36,Private,102864,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,40,United-States,<=50K,North Dakota,0.0,KNeighbors
4330,53,Private,95647,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K,Oklahoma,0.0,KNeighbors
4341,31,Private,114937,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,South Dakota,0.0,KNeighbors
4342,35,?,129305,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,Missouri,0.0,KNeighbors
4343,39,Private,365739,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K,New Hampshire,0.0,KNeighbors
4344,28,Private,69621,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,60,United-States,<=50K,Illinois,0.0,KNeighbors
4345,37,Private,254202,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,Nebraska,1.0,KNeighbors
4347,38,Federal-gov,125933,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Iran,>50K,Pennsylvania,1.0,KNeighbors
4348,43,Self-emp-not-inc,56920,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,Missouri,0.0,KNeighbors
4352,61,Self-emp-inc,66614,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,Pennsylvania,0.0,KNeighbors
4357,22,Private,175374,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,24,United-States,<=50K,Montana,0.0,KNeighbors
4364,52,?,252903,HS-grad,9,Divorced,?,Not-in-family,White,Male,0,0,45,United-States,>50K,Oregon,0.0,KNeighbors
4365,48,Private,187715,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,46,United-States,<=50K,Washington,1.0,KNeighbors
4368,42,Private,228456,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,50,United-States,<=50K,North Dakota,0.0,KNeighbors
4371,44,Self-emp-inc,78374,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,West Virginia,0.0,KNeighbors
4380,27,Private,428030,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,<=50K,Mississippi,0.0,KNeighbors
4383,21,Private,312956,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,40,United-States,<=50K,Illinois,0.0,KNeighbors
4386,33,Private,37274,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,65,United-States,<=50K,Massachusetts,1.0,KNeighbors
4388,43,Private,114580,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,40,United-States,<=50K,North Carolina,0.0,KNeighbors
4390,40,Private,286370,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,Mexico,>50K,Maine,0.0,KNeighbors
4391,37,Federal-gov,29054,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States,>50K,Ohio,1.0,KNeighbors
4394,53,?,135105,Bachelors,13,Divorced,?,Not-in-family,White,Female,0,0,50,United-States,<=50K,Alaska,0.0,KNeighbors
4397,38,Private,155222,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,28,United-States,<=50K,Maine,0.0,KNeighbors
4398,24,Private,159567,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,Iowa,0.0,KNeighbors
4405,19,?,170653,HS-grad,9,Never-married,?,Own-child,White,Male,0,0,40,Italy,<=50K,Tennessee,0.0,KNeighbors
4409,35,Private,36270,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,60,United-States,<=50K,New York,0.0,KNeighbors
4411,44,Local-gov,160943,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,40,United-States,<=50K,Rhode Island,0.0,KNeighbors
4412,37,Private,208358,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K,Michigan,1.0,KNeighbors
4414,60,Private,85815,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K,New York,1.0,KNeighbors
4416,37,Private,635913,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,60,United-States,>50K,New Mexico,0.0,KNeighbors
4421,31,Private,197860,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,Alaska,0.0,KNeighbors
4423,54,Private,176681,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,20,United-States,<=50K,Alaska,1.0,KNeighbors
4427,75,Private,314209,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,20,Columbia,<=50K,South Carolina,0.0,KNeighbors
4429,41,Private,130408,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,38,United-States,<=50K,Idaho,0.0,KNeighbors
4434,40,State-gov,170525,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,38,United-States,<=50K,Illinois,0.0,KNeighbors
4436,38,Local-gov,115076,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,70,United-States,>50K,Montana,1.0,KNeighbors
4437,23,Private,115458,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,Arkansas,0.0,KNeighbors
4457,45,Private,98092,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K,South Carolina,0.0,KNeighbors
4461,19,?,218956,Some-college,10,Never-married,?,Own-child,White,Male,0,0,24,Canada,<=50K,Florida,0.0,KNeighbors
4464,33,Private,222205,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,>50K,Illinois,0.0,KNeighbors
4468,43,Private,477983,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,Black,Male,0,0,40,United-States,<=50K,Florida,0.0,KNeighbors
4469,35,Private,190174,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Rhode Island,0.0,KNeighbors
4471,22,Private,34918,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,15,Germany,<=50K,Illinois,0.0,KNeighbors
4474,21,Private,205759,HS-grad,9,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,South Carolina,0.0,KNeighbors
4476,50,Private,176609,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,45,United-States,<=50K,Delaware,0.0,KNeighbors
4477,25,Private,371987,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,Pennsylvania,0.0,KNeighbors
4484,65,Private,111095,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,16,United-States,<=50K,North Dakota,0.0,KNeighbors
4492,26,Private,193945,Assoc-acdm,12,Never-married,Tech-support,Not-in-family,White,Male,0,0,45,United-States,<=50K,Alabama,0.0,KNeighbors
4494,35,Private,193815,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,United-States,>50K,Michigan,0.0,KNeighbors
4496,26,Private,59306,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Maryland,0.0,KNeighbors
4499,22,Private,199698,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,15,United-States,<=50K,Oregon,0.0,KNeighbors
4501,77,Self-emp-not-inc,138714,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,40,United-States,<=50K,Hawaii,0.0,KNeighbors
4502,22,Private,399087,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Other-relative,White,Female,0,0,40,Mexico,<=50K,New Mexico,0.0,KNeighbors
4506,35,Private,186110,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,0,0,45,United-States,<=50K,Louisiana,0.0,KNeighbors
4511,58,Self-emp-not-inc,321171,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,40,United-States,<=50K,Michigan,1.0,KNeighbors
4514,47,Private,178686,Assoc-voc,11,Never-married,Other-service,Not-in-family,White,Male,0,0,40,United-States,<=50K,Pennsylvania,0.0,KNeighbors
4517,17,Private,270942,5th-6th,3,Never-married,Other-service,Other-relative,White,Male,0,0,48,Mexico,<=50K,Minnesota,0.0,KNeighbors
4521,45,Private,261192,HS-grad,9,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,United-States,<=50K,Colorado,0.0,KNeighbors
4522,26,Private,94936,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Oklahoma,0.0,KNeighbors
4523,33,Private,85043,HS-grad,9,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,20,United-States,<=50K,California,0.0,KNeighbors
4525,43,Self-emp-not-inc,241895,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,42,United-States,<=50K,New Hampshire,0.0,KNeighbors
4527,30,?,151989,Assoc-voc,11,Divorced,?,Unmarried,White,Female,0,0,40,United-States,<=50K,Pennsylvania,0.0,KNeighbors
4528,56,Private,101128,Assoc-acdm,12,Married-spouse-absent,Other-service,Not-in-family,White,Male,0,0,25,Iran,<=50K,Minnesota,0.0,KNeighbors
4534,59,?,372020,Bachelors,13,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,>50K,Vermont,0.0,KNeighbors
4537,40,Private,96129,Assoc-voc,11,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,Florida,1.0,KNeighbors
4538,42,Private,111949,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,35,United-States,<=50K,Nebraska,1.0,KNeighbors
4545,56,Self-emp-not-inc,183081,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,45,United-States,<=50K,Texas,0.0,KNeighbors
4546,22,Private,362589,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,15,United-States,<=50K,West Virginia,0.0,KNeighbors
4555,33,Private,267404,HS-grad,9,Married-civ-spouse,Craft-repair,Wife,White,Female,0,0,40,United-States,<=50K,South Carolina,1.0,KNeighbors
4556,23,Private,35633,Some-college,10,Never-married,Sales,Not-in-family,White,Male,0,0,40,United-States,<=50K,Colorado,0.0,KNeighbors
4557,46,Self-emp-not-inc,80914,Masters,14,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,30,United-States,<=50K,Massachusetts,0.0,KNeighbors
4558,38,Private,172927,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,West Virginia,0.0,KNeighbors
4563,23,Private,396099,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,0,25,United-States,<=50K,Illinois,0.0,KNeighbors
4564,29,Private,134152,HS-grad,9,Separated,Machine-op-inspct,Not-in-family,White,Male,0,0,40,United-States,<=50K,Louisiana,0.0,KNeighbors
4566,19,Private,232392,HS-grad,9,Never-married,Other-service,Other-relative,White,Female,0,0,40,United-States,<=50K,Virginia,0.0,KNeighbors
4575,52,Self-emp-inc,132178,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,50,United-States,>50K,Oregon,1.0,KNeighbors
4576,20,Private,416103,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,Florida,0.0,KNeighbors
4577,28,Private,108574,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K,Michigan,0.0,KNeighbors
4584,24,Private,241951,HS-grad,9,Never-married,Handlers-cleaners,Unmarried,Black,Female,0,0,40,United-States,<=50K,Alaska,0.0,KNeighbors
4587,35,Private,92440,12th,8,Divorced,Craft-repair,Not-in-family,White,Male,0,0,50,United-States,>50K,Michigan,0.0,KNeighbors
4593,32,State-gov,92003,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,40,United-States,>50K,Alaska,1.0,KNeighbors
4598,63,Self-emp-inc,222289,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,Oklahoma,0.0,KNeighbors
4599,47,Local-gov,287480,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,North Dakota,0.0,KNeighbors
4610,44,Private,116632,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,>50K,Tennessee,1.0,KNeighbors
4613,44,Private,290521,HS-grad,9,Widowed,Exec-managerial,Unmarried,Black,Female,0,0,40,United-States,<=50K,Nebraska,0.0,KNeighbors
4615,20,Private,146538,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K,Wisconsin,0.0,KNeighbors
4620,42,Private,197583,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,40,?,>50K,Florida,1.0,KNeighbors
4622,40,Private,72887,Assoc-voc,11,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,0,0,40,United-States,>50K,Oklahoma,0.0,KNeighbors
4641,46,Private,279196,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Female,0,0,40,United-States,<=50K,Vermont,0.0,KNeighbors
4642,17,Private,211870,9th,5,Never-married,Other-service,Not-in-family,White,Male,0,0,6,United-States,<=50K,Illinois,0.0,KNeighbors
4649,41,Private,193626,HS-grad,9,Married-spouse-absent,Craft-repair,Unmarried,White,Female,0,0,40,United-States,<=50K,South Dakota,0.0,KNeighbors
4650,25,Private,189775,Some-college,10,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,0,0,20,United-States,<=50K,Nebraska,0.0,KNeighbors
4658,33,Private,178107,Bachelors,13,Never-married,Craft-repair,Own-child,White,Male,0,0,20,United-States,<=50K,Florida,0.0,KNeighbors
4665,62,Local-gov,114060,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,<=50K,Wyoming,0.0,KNeighbors
4670,19,Private,249609,Some-college,10,Never-married,Protective-serv,Own-child,White,Male,0,0,8,United-States,<=50K,Alabama,0.0,KNeighbors
4679,25,Private,267044,Some-college,10,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0,0,20,United-States,<=50K,Alaska,0.0,KNeighbors
4684,37,Local-gov,186035,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,45,United-States,>50K,Mississippi,0.0,KNeighbors
4688,74,Private,99183,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,9,United-States,<=50K,Nebraska,0.0,KNeighbors
4691,44,Private,109339,11th,7,Divorced,Machine-op-inspct,Unmarried,Other,Female,0,0,46,Puerto-Rico,<=50K,Pennsylvania,0.0,KNeighbors
4694,41,Private,101739,Assoc-acdm,12,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,50,United-States,>50K,West Virginia,1.0,KNeighbors
4704,27,Private,201872,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,<=50K,South Dakota,0.0,KNeighbors
4707,35,Local-gov,233327,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,<=50K,Alabama,1.0,KNeighbors
4710,46,Self-emp-not-inc,245724,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,Pennsylvania,0.0,KNeighbors
4713,35,Private,229328,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Female,0,0,40,United-States,<=50K,New Mexico,0.0,KNeighbors
4722,47,Private,264052,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K,Illinois,1.0,KNeighbors
4726,45,Private,433665,7th-8th,4,Separated,Other-service,Unmarried,White,Female,0,0,40,Mexico,<=50K,Ohio,0.0,KNeighbors
4727,29,Self-emp-not-inc,110663,HS-grad,9,Separated,Craft-repair,Not-in-family,White,Male,0,0,35,United-States,<=50K,Mississippi,0.0,KNeighbors
4732,27,Private,158156,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,70,United-States,<=50K,Nevada,1.0,KNeighbors
4736,58,Local-gov,283635,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,Alaska,0.0,KNeighbors
4740,59,Private,199713,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K,South Dakota,1.0,KNeighbors
4744,29,Private,34292,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,60,United-States,<=50K,Idaho,0.0,KNeighbors
4747,42,?,137390,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K,Idaho,0.0,KNeighbors
4748,55,?,105138,HS-grad,9,Married-civ-spouse,?,Wife,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,Maryland,1.0,KNeighbors
4761,29,Private,182521,HS-grad,9,Never-married,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,0,0,40,United-States,<=50K,Georgia,0.0,KNeighbors
4765,24,Private,249909,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,50,United-States,<=50K,Maryland,0.0,KNeighbors
4766,27,Private,109881,Bachelors,13,Never-married,Other-service,Own-child,White,Female,0,0,20,United-States,<=50K,Virginia,0.0,KNeighbors
4771,23,Private,190483,Bachelors,13,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,Georgia,0.0,KNeighbors
4774,29,Private,34383,Assoc-voc,11,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,55,United-States,<=50K,Michigan,1.0,KNeighbors
4775,47,Private,241832,9th,5,Married-spouse-absent,Handlers-cleaners,Unmarried,White,Male,0,0,40,El-Salvador,<=50K,Louisiana,0.0,KNeighbors
4776,30,Private,124187,HS-grad,9,Never-married,Farming-fishing,Own-child,Black,Male,0,0,60,United-States,<=50K,Georgia,0.0,KNeighbors
4779,33,Private,205469,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K,Arizona,1.0,KNeighbors
4784,58,Self-emp-not-inc,35723,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,60,United-States,<=50K,Michigan,1.0,KNeighbors
4792,31,Private,55849,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,Georgia,0.0,KNeighbors
4797,30,State-gov,169496,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,Nebraska,1.0,KNeighbors
4802,29,State-gov,71592,Some-college,10,Never-married,Adm-clerical,Unmarried,Asian-Pac-Islander,Female,0,0,40,Philippines,<=50K,Indiana,0.0,KNeighbors
4803,34,Private,106742,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,<=50K,South Carolina,0.0,KNeighbors
4809,43,Local-gov,194360,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,38,United-States,<=50K,Alaska,0.0,KNeighbors
4814,17,Self-emp-not-inc,368700,11th,7,Never-married,Farming-fishing,Own-child,White,Male,0,0,10,United-States,<=50K,Ohio,0.0,KNeighbors
4819,31,Private,125457,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,45,United-States,<=50K,Maine,0.0,KNeighbors
4820,58,Self-emp-not-inc,204021,HS-grad,9,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,West Virginia,0.0,KNeighbors
4824,23,Local-gov,430828,Some-college,10,Separated,Exec-managerial,Unmarried,Black,Male,0,0,40,United-States,<=50K,Texas,0.0,KNeighbors
4826,34,Private,136721,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K,South Dakota,0.0,KNeighbors
4837,35,Private,203628,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,60,United-States,>50K,Michigan,0.0,KNeighbors
4839,19,Private,475028,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,Wisconsin,0.0,KNeighbors
4841,21,Private,163870,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,30,United-States,<=50K,Rhode Island,0.0,KNeighbors
4844,40,Private,229148,12th,8,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,40,Jamaica,<=50K,Missouri,0.0,KNeighbors
4845,45,Private,242552,Some-college,10,Never-married,Sales,Not-in-family,Black,Male,0,0,40,United-States,<=50K,New York,0.0,KNeighbors
4846,60,Private,177665,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States,<=50K,North Carolina,1.0,KNeighbors
4848,28,Private,296450,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K,Vermont,0.0,KNeighbors
4849,36,Private,70282,Some-college,10,Divorced,Adm-clerical,Unmarried,Black,Female,0,0,40,United-States,<=50K,Iowa,0.0,KNeighbors
4850,36,Private,271767,Bachelors,13,Separated,Prof-specialty,Not-in-family,White,Male,0,0,40,?,<=50K,Illinois,0.0,KNeighbors
4860,44,Private,111502,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,40,United-States,<=50K,Wisconsin,0.0,KNeighbors
4864,55,Private,173093,Some-college,10,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,0,0,40,United-States,<=50K,New York,0.0,KNeighbors
4868,43,State-gov,260960,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,<=50K,Delaware,1.0,KNeighbors
4869,42,Private,279914,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,40,United-States,>50K,Illinois,1.0,KNeighbors
4871,55,Self-emp-not-inc,200939,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,72,United-States,<=50K,Ohio,0.0,KNeighbors
4873,17,Private,316929,12th,8,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,20,United-States,<=50K,Virginia,0.0,KNeighbors
4883,54,Private,285854,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,40,United-States,>50K,New York,1.0,KNeighbors
4884,33,Local-gov,120064,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,45,United-States,<=50K,South Dakota,0.0,KNeighbors
4886,37,Private,103408,HS-grad,9,Never-married,Farming-fishing,Not-in-family,Black,Male,0,0,40,United-States,<=50K,Maryland,0.0,KNeighbors
4888,59,Local-gov,420537,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,38,United-States,>50K,Utah,0.0,KNeighbors
4891,51,Private,386773,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0,0,55,United-States,>50K,South Carolina,1.0,KNeighbors
4900,37,Private,280282,Assoc-voc,11,Married-civ-spouse,Tech-support,Wife,White,Female,0,0,24,United-States,>50K,Ohio,0.0,KNeighbors
4901,55,Private,116442,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,38,United-States,<=50K,Idaho,0.0,KNeighbors
4904,34,Private,73585,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,?,<=50K,Arizona,1.0,KNeighbors
4906,54,Private,279129,Some-college,10,Never-married,Tech-support,Not-in-family,White,Male,0,0,40,United-States,<=50K,Arizona,0.0,KNeighbors
4907,43,State-gov,146908,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,?,<=50K,Connecticut,0.0,KNeighbors
4909,41,Self-emp-not-inc,49572,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,<=50K,Indiana,0.0,KNeighbors
4910,40,Private,237601,Bachelors,13,Never-married,Sales,Not-in-family,Other,Female,0,0,55,United-States,>50K,Maryland,0.0,KNeighbors
4912,18,Private,231193,12th,8,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,30,United-States,<=50K,Iowa,0.0,KNeighbors
4913,59,?,192130,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0,0,16,United-States,<=50K,Oregon,0.0,KNeighbors
4921,46,Private,90758,Masters,14,Never-married,Tech-support,Not-in-family,White,Male,0,0,35,United-States,>50K,Alabama,1.0,KNeighbors
4923,68,Self-emp-not-inc,315859,11th,7,Never-married,Farming-fishing,Unmarried,White,Male,0,0,20,United-States,<=50K,Ohio,0.0,KNeighbors
4925,17,Private,193830,11th,7,Never-married,Sales,Own-child,White,Female,0,0,20,United-States,<=50K,North Dakota,0.0,KNeighbors
4930,22,?,219941,Some-college,10,Never-married,?,Own-child,Black,Male,0,0,40,United-States,<=50K,Michigan,0.0,KNeighbors
4933,17,Private,32607,10th,6,Never-married,Farming-fishing,Own-child,White,Male,0,0,20,United-States,<=50K,New York,0.0,KNeighbors
4939,48,Private,167159,Assoc-voc,11,Never-married,Adm-clerical,Unmarried,White,Male,0,0,40,United-States,<=50K,Florida,0.0,KNeighbors
4940,31,Private,171871,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,46,United-States,<=50K,New Jersey,0.0,KNeighbors
4948,26,Private,280093,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,40,United-States,<=50K,Florida,0.0,KNeighbors
4954,24,Private,321435,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,50,United-States,<=50K,Vermont,0.0,KNeighbors
4959,62,Local-gov,291175,Bachelors,13,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States,<=50K,Alaska,0.0,KNeighbors
4960,43,Private,102895,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,40,United-States,<=50K,Iowa,0.0,KNeighbors
4968,26,Private,96467,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,40,United-States,<=50K,Alabama,0.0,KNeighbors
4970,34,Private,111567,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,40,United-States,<=50K,Mississippi,0.0,KNeighbors
4973,34,Private,188798,Bachelors,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,40,United-States,<=50K,Wisconsin,0.0,KNeighbors
4976,43,Private,191547,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,40,Mexico,<=50K,Louisiana,0.0,KNeighbors
4984,29,Self-emp-not-inc,266855,Bachelors,13,Separated,Prof-specialty,Own-child,White,Male,0,0,40,United-States,<=50K,Maine,0.0,KNeighbors
4987,55,Private,282753,5th-6th,3,Divorced,Other-service,Unmarried,Black,Male,0,0,25,United-States,<=50K,Utah,0.0,KNeighbors
4988,41,Private,194636,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,60,United-States,>50K,Alaska,1.0,KNeighbors
4992,19,Private,376540,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,30,United-States,<=50K,Delaware,0.0,KNeighbors
4993,49,Private,72393,9th,5,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,40,United-States,<=50K,Indiana,0.0,KNeighbors
4994,32,Private,270335,Bachelors,13,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,40,Philippines,>50K,Kentucky,1.0,KNeighbors
4999,23,Private,205865,Bachelors,13,Never-married,Exec-managerial,Own-child,White,Male,0,0,28,United-States,<=50K,Texas,0.0,KNeighbors
